69,2026-03-31T12:03:29.444818,2026-03-31T12:04:43.616634,KERNEL/USDT,BUY,0.11271,0.11171,-0.1297885200000001,-1.0863454884216137,0.02378852,"Hard SL (-10.0%)",1,-0.01920008,0.0,85.901146736584664,51.329180942180692,"🔴",0.88723272114275653,0.044361636057132899,,RANGE,55.18234101666188,0.0,,,0
92,2026-03-31T16:53:52.611889,2026-03-31T17:03:47.395681,ZEC/USDT,BUY,252.16,249.94,-0.12953642384105957,-1.0795130076142128,0.023893405242495142,"Hard SL (-10.0%)",1,2.422e-05,0.0,66.041437755672533,39.964041570695244,"🔴",0.88039340101522789,0.23001269035533492,,RANGE,58.54839825630188,0.0,,,0
87,2026-03-31T16:13:19.558890,2026-03-31T16:15:45.061336,SKL/USDT,BUY,0.00697,0.00691,-0.12736911999999878,-1.0599713055953988,0.02392912,"Hard SL (-10.0%)",1,-0.00166412,0.0,65.443867443234012,53.999970516702128,"🔴",0.86083213773313194,0.0,,RANGE,56.917977372805275,0.0,,,0
124,2026-04-01T19:24:45.856057,2026-04-01T19:29:15.404914,TRIA/USDT,SELL,0.0246,0.02481,-0.12664442636289586,-1.0545121951219447,0.024122050447518306,"Hard SL (-10.0%)",1,5.0e-05,0.0,29.930889756921772,38.396115899276516,"⚪",0.85365853658535928,-0.36585365853658458,,RANGE,55.735595643520355,0.0,,0.00084160113024995468,0
91,2026-03-31T16:53:56.886353,2026-03-31T17:02:09.762735,"币安人生/USDT",BUY,0.04568,0.0453,-0.12372504378283672,-1.0310420315236391,0.023900175131348518,"Hard SL (-10.0%)",1,5.0e-05,0.0,56.619805397301363,28.0908883631535,"🔴",0.83187390542906836,0.28458844133099426,,RANGE,57.498113360669876,0.0,,,0
85,2026-03-31T13:42:48.024674,2026-03-31T13:43:40.403745,MOVR/USDT,BUY,1.327,1.316,-0.12333271999999906,-1.028108515448372,0.02389272,"Hard SL (-10.0%)",1,-0.00097987,0.0,83.345044487126671,50.91967589697849,"⚪",0.82893745290127352,0.15071590052750578,,RANGE,55.721528153042158,0.0,,,0
73,2026-03-31T12:14:04.243779,2026-03-31T12:15:27.216082,KERNEL/USDT,BUY,0.11138,0.11048,-0.12003902000000127,-1.0072364876997773,0.023739020000000003,"Hard SL (-10.0%)",1,-0.01817461,0.0,82.605830077034312,50.843009880023587,"🔴",0.80804453223200934,0.15263063386603484,,RANGE,55.873224611798676,0.0,,,0
68,2026-03-31T11:44:52.534451,2026-03-31T12:01:51.698329,SEI/USDT,SELL,0.04879,0.04913,-0.10816624,-0.89756097560975601,0.024186239999999998,DEGRADED_SHORT_THESIS_INVALIDATED_56.3,1,-0.00013573,0.0,22.787536445954814,34.045530624210478,"⚪",0.30744004919040247,0.26644804263168309,,RANGE,55.020336487372141,56.3010367486212,,,0
20,2026-03-28T13:00:43.722887,2026-03-28T13:28:18.553500,FIL/USDT,SELL,0.822,0.826,-0.081896000000000052,-0.68710462287104679,0.023895999999999997,DEGRADED_SHORT_THESIS_INVALIDATED_55.0,1,-0.00018326,0.0,47.115117294839912,14.262273751641789,"🟢",0.0,0.0,,RANGE,55.000000000000007,55.000000000000007,,,0
37,2026-03-28T13:36:44.569346,2026-03-28T14:36:44.642735,DOGE/USDT,BUY,0.09262,0.09223,-0.074155649999998408,-0.62065428633123265,0.023845650000000003,"Time Limit 60m",1,0.0001,0.0,61.161906516124901,34.477599728325728,"🔴",0.76657309436405585,0.053984020729873003,,RANGE,55.771028037383189,0.0,,,0
33,2026-03-28T13:14:02.906351,2026-03-28T14:14:03.044951,AVAX/USDT,BUY,8.898,8.866,-0.04976400000000003,-0.55927174645987898,0.017764000000000002,"Time Limit 60m",1,5.942e-05,0.0,51.763523489348366,17.530339742739844,"⚪",0.43830074173971345,0.12362328613172632,,RANGE,55.105769230769241,0.0,,,0
65,2026-03-31T10:46:42.752356,2026-03-31T11:01:43.440890,SKL/USDT,BUY,0.00683,0.00681,-0.059004560000000095,-0.49253294289897587,0.02392456,DEGRADED_CONFIDENCE_FLOOR_VIOLATED_29.0,1,-0.00443947,0.0,67.825406036563891,52.427024958975885,"🔴",0.73206442166911512,0.29282576866764348,,RANGE,58.05259601606263,28.975694444444443,,,0
39,2026-03-28T14:16:18.291423,2026-03-28T15:16:18.407664,XRP/USDT,SELL,1.343,1.3464,-0.054195660000000617,-0.45341772151899251,0.02393566,"Time Limit 60m",1,-2.548e-05,0.0,54.373494289417678,26.592450360310576,"🔴",0.33507073715561792,0.022338049143705657,,RANGE,55.771028037383189,0.0,,,0
28,2026-03-28T13:07:05.288058,2026-03-28T14:07:05.320342,HBAR/USDT,BUY,0.09088,0.0907,-0.047366979999999948,-0.39786531690140803,0.02378698,"Time Limit 60m",1,0.0001,0.0,47.638013984766367,13.887327616529172,"⚪",0.209066901408446,-0.08802816901408092,,RANGE,55.000000000000007,0.0,,,0
