ZRO/USDT,1,0,1,0.0,-0.024001,0.024001,-0.2,,-0.2,0.0,-0.2,0.0,0.0,55.948317,0.0
GALA/USDT,1,0,1,0.0,-0.024078,0.024078,-0.2,,-0.2,0.0,-0.2,0.342466,0.0,55.1375,55.785714
ICP/USDT,1,0,1,0.0,-0.027545,0.022545,-0.24441,,-0.24441,0.0,-0.24441,0.088731,0.133097,55.103125,55.103125
ENJ/USDT,1,0,1,0.0,-0.029788,0.023978,-0.248401,,-0.248401,0.0,-0.248401,0.484496,0.484496,56.158561,44.34375
2Z/USDT,1,0,1,0.0,-0.031547,0.023897,-0.26394,,-0.26394,0.0,-0.26394,0.422427,0.128008,57.583996,34.225694
SOL/USDT,1,0,1,0.0,-0.033134,0.023334,-0.283879,,-0.283879,0.0,-0.283879,0.167926,0.0,55.0,0.0
ORCA/USDT,2,0,2,0.0,-0.034292,0.047959,-0.143044,,-0.143044,0.0,-0.143044,-0.057013,0.057013,57.841189,0.0
DOT/USDT,1,0,1,0.0,-0.042427,0.023827,-0.356406,,-0.356406,0.0,-0.356406,0.234375,-0.15625,55.0,55.0
LINK/USDT,1,0,1,0.0,-0.043374,0.023914,-0.362458,,-0.362458,0.0,-0.362458,0.197468,-0.069695,55.105769,0.0
SEI/USDT,3,2,1,66.67,-0.04399,0.07191,-0.120363,0.268236,-0.897561,0.59331,-0.120324,0.12978,0.427435,56.653969,18.767012
ETC/USDT,1,0,1,0.0,-0.044556,0.023976,-0.371993,,-0.371993,0.0,-0.371993,0.098184,0.024546,55.825,55.825
HBAR/USDT,1,0,1,0.0,-0.047367,0.023787,-0.397865,,-0.397865,0.0,-0.397865,0.209067,-0.088028,55.0,0.0
AVAX/USDT,1,0,1,0.0,-0.049764,0.017764,-0.559272,,-0.559272,0.0,-0.559272,0.438301,0.123623,55.105769,0.0
XRP/USDT,1,0,1,0.0,-0.054196,0.023936,-0.453418,,-0.453418,0.0,-0.453418,0.335071,0.022338,55.771028,0.0
DOGE/USDT,1,0,1,0.0,-0.074156,0.023846,-0.620654,,-0.620654,0.0,-0.620654,0.766573,0.053984,55.771028,0.0
FIL/USDT,1,0,1,0.0,-0.081896,0.023896,-0.687105,,-0.687105,0.0,-0.687105,0.0,0.0,55.0,55.0
BASED/USDT,1,0,1,0.0,-0.121552,0.02365,-1.032185,,-1.032185,0.0,-1.032185,0.831354,-0.118765,57.100874,0.0
MOVR/USDT,1,0,1,0.0,-0.123333,0.023893,-1.028109,,-1.028109,0.0,-1.028109,0.828937,0.150716,55.721528,0.0
"币安人生/USDT",1,0,1,0.0,-0.123725,0.0239,-1.031042,,-1.031042,0.0,-1.031042,0.831874,0.284588,57.498113,0.0
ZEC/USDT,2,0,2,0.0,-0.132637,0.047674,-0.552808,,-0.552808,0.0,-0.552808,0.606356,0.184239,57.155121,17.112847
SKL/USDT,3,0,3,0.0,-0.193321,0.071871,-0.5368,,-0.5368,0.0,-0.5368,0.625797,0.239856,58.263167,9.658565
TRIA/USDT,2,0,2,0.0,-0.218197,0.100274,-0.647503,,-0.647503,0.0,-0.647503,0.811133,-0.041341,58.213941,28.550582
KERNEL/USDT,2,0,2,0.0,-0.249828,0.047528,-1.046791,,-1.046791,0.0,-1.046791,0.847639,0.098496,55.527783,0.0
LTC/USDT,4,1,3,25.0,-0.279963,0.300823,-0.116705,0.059135,-0.175318,0.024625,-0.116705,0.036942,0.115568,57.765581,44.318582
NEAR/USDT,9,5,4,55.56,-0.396207,0.499207,-0.010916,0.123034,-0.178353,0.172972,-0.010902,-0.00904,0.283725,58.345504,39.256623
UNI/USDT,3,1,2,33.33,-0.643536,0.535536,-0.102751,0.149912,-0.229083,0.023383,-0.102764,0.087747,0.194643,59.050248,33.034375
BCH/USDT,5,3,2,60.0,-0.851246,0.606566,-0.016611,0.142842,-0.25579,0.07091,-0.016611,0.102449,0.23959,58.717476,17.137612
